TIME;BE;BG;CZ;DK;DE;EE;IE;GR;ES;FR;HR;IT;CY;LV;LT;LU;HU;MT;NL;AT;PL;PT;RO;SK;FI;SE
1999;22651;4218;8114;9043;128130;1119;7987;14706;58375;85671;3844;87611;2181;1479;2541;2119;6814;824;30359.83;11453;17869;14794;9572;3433;9756;16227
2000;22274;3809;7799;8671;125923;893;7902;14838;59687;83742;3312;86533;2326;1255;1696;2280.21;6682;807;30369.71;11332;17596;14341;9268;3374;8990;14556
2001;22520;3958;8170;8718;128487;1058;8327;15263;62177;90946;3466;85235;2353;1264;1979;2419.87;6456;893;30873.85;12097;17827;14762;10952;3194;8731;14836
2002;21414;4037;8279;8424;123265;1058;8234;15847;62651;88439;3598;85773;2360;1236;1917;2464.46;6275;836;32570.19;12289;17709;15371;10135;3484;9534;15626
2003;22820;4465;8540;7875;120675;1092;7950;16512;64191;88538;4036;86381;2573;1370;1762;2656.86;6157;918;34741.5;13150;18673;14057;9771;3145;9909;14170
2004;22994;4322;9334;7915;119471;1103;8486;16344;65781;89764;3741;82523;2426;1418;1902;3003.72;6258;946;34648.78;13411;19835;14338;9799;3361;10318;13844
2005;22803;4628;9713;7636;118184;1156.37;8295.87;16669;66235;88800;3920;79340;2473;1453;2031;3104.53;7229;953;34336.7;13473.75;20002;14771;9232;3335;10100;13323.44
2006;21415;4886;9642;7866;119508;1170.81;8425.82;16754;65565;88621;4047;79404;2575;1595;2099;2930.3;7477;954;34641.21;13515.26;21916;13149;9705;3381;10058;12909.38
2007;20434;4680;9674;7932;108178;1214.55;8389.09;16378;66532;88178;4131;75806;2673;1715;2201;2903.4;7478;976;34899.16;13024.84;22769;13347;9765;3603;10003;11870.75
2008;22542;4544;9854;7819;114658;1184.19;8160.11;16392;63906;86978;4030;73886;2822;1621;2284;2925.74;7383;990;33334.3;12722.39;23398;12636;10025;3746;10509;12858.61
2009;22519.75;3988;9420;7053;109547;1045.17;7636.92;15629;59784;83717;3833;69080;2745;1460;1859;2739.31;7208;906;32584.07;12169.08;23498;11939;8778;3483;9835;11809.18
2010;23621.57;3615;9210;7277;112234;1110.08;7557.2;14347;57869;81456;3205;67065;2647;1526;1920;2868.36;6932;945;33989.44;12449.74;24444;11811;8891;3698;9901;13492.9
2011;21909.97;3376;9046;7116;109307;1103.29;6684.75;12750;55328;84722;3143;64368;2594;1399;1841;2937.96;6560;942;32424.73;11720.63;24795;11044;9178;3606;9898;13598.53
2012;20971.83;3634;8908;6975;109321;1131.99;6260.74;11807;50570;82651;2918;59150;2413;1377;1964;2836.11;6118;986;32533.54;11638.23;24100;9725;9033;3343;9014;12354.09
2013;22112.71;3308;8635;6598;110736;1099.51;6511.37;10004;46249;80916;2888;55614;2081;1401;1895;2797.67;5874;876;31703.36;11856.43;22563;9460;8171;3236;7891;12016.05
2014;22572.76;3729;9215;6533.92;109115;1115.2;6396.12;10472;44799;80917.47;2776;55513;2124;1428;1984;2716.37;6587;882;30964.66;11532.26;22428;9786;8577;3066;9074;11644.45
2015;22977.35;4015;8975;6509.45;109504;1133;6784.82;11010;47601;81854;2925;55888;2140;1482;2104;2684.23;7109;651;30870.6;11667.34;23962;9917;9022;3308;8762;10308.09
2016;22724.93;4032;8334;6741.86;109616;1133.62;7182.73;11224;49131;79688;2950;54775;2299;1472;2242;2688.48;7016;566;32103.69;12039.6;25926;9760;9094.93;3502;8979;11114.6
2017;22651.87;4146.92;9721;6818.52;112216;1153.7;7105.38;11181.9;52295;80554.82;3151.47;54760.78;2370.79;1544.28;2367.1;2834.25;7508;469.61;32574.56;11992.74;29689.4;10063.09;9781.94;3955;8695;11801.47
2018;22532.72;4316.31;9848;6995.13;107148;1178.72;7273.88;10695.04;53005;78339.78;3091.7;55800.06;2358.63;1604.98;2569.8;3005.79;8045;450.72;32382.6;12173.98;30633.12;9742.38;9946.8;4045;8625;11461.4
2019;21754.65;4429.04;9923;6897.57;109659;1109;7361.23;11271.17;52095;78690.12;3148.2;55023.59;2320;1559.85;2609.6;3033.18;8014;449.67;30774.38;12663.94;31235.09;10259;9719;3408;9122;11348
